date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:33	871/871	---M--	200	added ('OK')	image/png	etag:%22096c0b02bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/publicar.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/publicar.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:33	965/965	---M--	200	added ('OK')	image/png	etag:%2209ff4732bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/mvp.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/mvp.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:33	511/511	---M--	200	added ('OK')	image/png	etag:%2280d8cf145b80d11:0%22	http://www.devmedia.com.br/imagens/2013/app.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/app.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:34	543/543	---M--	200	added ('OK')	image/png	etag:%2280718e56e8d4ce1:0%22	http://www.devmedia.com.br/imagens/2013/comprar.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/comprar.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:34	794/794	---M--	200	added ('OK')	image/png	etag:%22801eefb01accce1:0%22	http://www.devmedia.com.br/imagens/2013/logout.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/logout.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:34	484/484	---M--	200	added ('OK')	image/png	etag:%220fa7ee43f5acf1:0%22	http://www.devmedia.com.br/imagens/2013/atendimento.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/atendimento.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:34	1820/1820	---M--	200	added ('OK')	image/png	etag:%22803866211d11:0%22	http://www.devmedia.com.br/imagens/2013/guias.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/guias.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:35	438/438	---M--	200	added ('OK')	image/png	etag:%220904bb6cdcd31:0%22	http://www.devmedia.com.br/imagens/2013/buscar_white.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/buscar_white.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:35	926/926	---M--	200	added ('OK')	image/png	etag:%2207bc27129c9d41:0%22	http://www.devmedia.com.br/imagens/2013/alerta-usuario.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/alerta-usuario.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:36	29850/29850	---M--	200	added ('OK')	image/png	etag:%220c573dd748ed51:0%22	http://www.devmedia.com.br/perfil/img/gold-texture-up.png	D:/parte2-backend/back-end/www.devmedia.com.br/perfil/img/gold-texture-up.png	(from http://www.devmedia.com.br/perfil/css/preview.css?i=73.76)
